autoheader      - 0.0
automake        - 0.0
autoreconf      - 0.0
autoscan        - 0.0
autoupdate      - 0.0
badblocks       - 0.0
batch           - 0.0
bc              - 0.0
bg              - 0.0
biff            - 0.0
bind            - 0.0
bison           - 0.0
bzcmp           - 0.0
bzdiff          - 0.0
bzgrep          - 0.0
bzip2           - 0.0
bzless          - 0.0
bzmore          - 0.0
cal             - 0.0
cardctl         - 0.0
cardmgr         - 0.0
cdda2wav        - 0.0
cdparanoia      - 0.0
cdrdao          - 0.0
cdrecord        - 0.0
cfdisk          - 0.0
chage           - 0.0
chattr          - 0.0
chdir           - 0.0
chfn            - 0.0
chgrp           - 0.0
chkconfig       - 0.0
chpasswd        - 0.0
chroot          - 0.0
chrt            - 0.0
chvt            - 0.0
cksum           - 0.0
cmp             - 0.0
col             - 0.0
colcrt          - 0.0
colrm           - 0.0
column          - 0.0
compress        - 0.0
cpio            - 0.0
cpp             - 0.0
crond           - 0.0
crontab         - 0.0
csplit          - 0.0
ctags           - 0.0
cupsd           - 0.0
cvs             - 0.0
dc              - 0.0
dd              - 0.0
ddrescue        - 0.0
deallocvt       - 0.0
debugfs         - 0.0
depmod          - 0.0
devdump         - 0.0
diff3           - 0.0
dircolors       - 0.0
dirname         - 0.0
dlpsh           - 0.0
dmesg           - 0.0
dnsdomainname   - 0.0
dnssec-keygen   - 0.0
dnssec-makekeyset - 0.0
dnssec-signkey  - 0.0
dnssec-signzone - 0.0
doexec          - 0.0
domainname      - 0.0
dosfsck         - 0.0
dump            - 0.0
dumpe2fs        - 0.0
dumpkeys        - 0.0
e2fsck          - 0.0
e2image         - 0.0
e2label         - 0.0
edgnued–        - 0.0
edquota         - 0.0
eject           - 0.0
elvtune         - 0.0
envsubst        - 0.0
esd             - 0.0
esd-config      - 0.0
esdcat          - 0.0
esdctl          - 0.0
esddsp          - 0.0
esdmon          - 0.0
esdplay         - 0.0
esdrec          - 0.0
esdsample       - 0.0
etags           - 0.0
ethtool         - 0.0
ex              - 0.0
expr            - 0.0
factor          - 0.0
fc-cache        - 0.0
fc-list         - 0.0
fdformat        - 0.0
fdisk           - 0.0
fetchmail       - 0.0
fg              - 0.0
fgconsole       - 0.0
finger          - 0.0
fingerd         - 0.0
flex            - 0.0
fmt             - 0.0
fold            - 0.0
formail         - 0.0
fsck            - 0.0
ftp             - 0.0
ftpd            - 0.0
g++             - 0.0
gawk            - 0.0
gcc             - 0.0
gdb             - 0.0
getkeycodes     - 0.0
gpasswd         - 0.0
gpgsplit        - 0.0
gpgv            - 0.0
gpm             - 0.0
gprof           - 0.0
groff           - 0.0
groffer         - 0.0
groupadd        - 0.0
groupdel        - 0.0
groupmod        - 0.0
groups          - 0.0
grpck           - 0.0
grpconv         - 0.0
gs              - 0.0
gunzip          - 0.0
gzexe           - 0.0
halt            - 0.0
hdparm          - 0.0
hexdump         - 0.0
hostid          - 0.0
htdigest        - 0.0
htop            - 0.0
hwclock         - 0.0
iconv           - 0.0
ifconfig        - 0.0
ifdown          - 0.0
ifup            - 0.0
imapd           - 0.0
import          - 0.0
inetd           - 0.0
insmod          - 0.0
iostat          - 0.0
ipcrm           - 0.0
ipcs            - 0.0
iptables-restore - 0.0
iptables-save   - 0.0
isodump         - 0.0
isoinfo         - 0.0
isosize         - 0.0
isovfy          - 0.0
ispell          - 0.0
jobs            - 0.0
kbd_mode        - 0.0
kbdrate         - 0.0
killall         - 0.0
killall5        - 0.0
klogd           - 0.0
kudzu           - 0.0
lastb           - 0.0
lastlog         - 0.0
ld              - 0.0
ldconfig        - 0.0
ldd             - 0.0
lesskey         - 0.0
lftp            - 0.0
lftpget         - 0.0
loadkeys        - 0.0
locale          - 0.0
lockfile        - 0.0
logger          - 0.0
logname         - 0.0
logout          - 0.0
losetup         - 0.0
lpadmin         - 0.0
lpc             - 0.0
lpinfo          - 0.0
lpmove          - 0.0
lpq             - 0.0
lpr             - 0.0
lprint          - 0.0
lprintd         - 0.0
lprintq         - 0.0
lprm            - 0.0
lpstat          - 0.0
lsattr          - 0.0
lsblk           - 0.0
lsmod           - 0.0
lspci           - 0.0
lsusb           - 0.0
m4              - 0.0
mailq           - 0.0
mailstats       - 0.0
mailto          - 0.0
makedbm         - 0.0
makemap         - 0.0
manpath         - 0.0
mattrib         - 0.0
mbadblocks      - 0.0
mcat            - 0.0
mcd             - 0.0
mcopy           - 0.0
md5sum          - 0.0
mdel,mdeltree   - 0.0
mdir            - 0.0
mdu             - 0.0
mesg            - 0.0
metamail        - 0.0
metasend        - 0.0
mformat         - 0.0
mimencode       - 0.0
minfo           - 0.0
mkdosfs         - 0.0
mke2fs          - 0.0
mkfifo          - 0.0
mkfs            - 0.0
mkfs.ext3       - 0.0
mkisofs         - 0.0
mklost+found    - 0.0
mkmanifest      - 0.0
mknod           - 0.0
mkraid          - 0.0
mkswap          - 0.0
mktemp          - 0.0
mlabel          - 0.0
mmd             - 0.0
mmount          - 0.0
mmove           - 0.0
mmv             - 0.0
modprobe        - 0.0
mount           - 0.0
mountd          - 0.0
mpartition      - 0.0
mpg123          - 0.0
mpg321          - 0.0
mrd             - 0.0
mren            - 0.0
mshowfat        - 0.0
mt              - 0.0
mtools          - 0.0
mtoolstest      - 0.0
mtr             - 0.0
mtype           - 0.0
mzip            - 0.0
namei           - 0.0
nameif          - 0.0
netstat         - 0.0
newaliases      - 0.0
newgrp          - 0.0
newusers        - 0.0
nfsd            - 0.0
nfsstat         - 0.0
nl              - 0.0
notify-send     - 0.0
nslookup        - 0.0
nsupdate        - 0.0
objcopy         - 0.0
objdump         - 0.0
od              - 0.0
op              - 0.0
openvt          - 0.0
passwd          - 0.0
patch           - 0.0
pathchk         - 0.0
pgrep           - 0.0
pinky           - 0.0
pkill           - 0.0
pmap            - 0.0
portmap         - 0.0
poweroff        - 0.0
pppd            - 0.0
pr              - 0.0
praliases       - 0.0
printcap        - 0.0
printenv        - 0.0
ptx             - 0.0
pwck            - 0.0
pwconv          - 0.0
quota           - 0.0
quotacheck      - 0.0
quotactl        - 0.0
quotaoff        - 0.0
quotaon         - 0.0
quotastats      - 0.0
raidstart       - 0.0
ram             - 0.0
ramsize         - 0.0
ranlib          - 0.0
rar             - 0.0
rarpd           - 0.0
rcp             - 0.0
rdate           - 0.0
rdev            - 0.0
rdist           - 0.0
rdistd          - 0.0
readarray       - 0.0
readcd          - 0.0
readelf         - 0.0
readlink        - 0.0
reject          - 0.0
remsync         - 0.0
renice          - 0.0
repquota        - 0.0
resize2fs       - 0.0
rexec           - 0.0
rexecd          - 0.0
richtext        - 0.0
rlogin          - 0.0
rlogind         - 0.0
rmail           - 0.0
rmmod           - 0.0
rndc            - 0.0
rootflags       - 0.0
routed          - 0.0
rpcgen          - 0.0
rpcinfo         - 0.0
rsh             - 0.0
rshd            - 0.0
runlevel        - 0.0
rup             - 0.0
ruptime         - 0.0
rusers          - 0.0
rusersd         - 0.0
rwall           - 0.0
rwho            - 0.0
rwhod           - 0.0
sane-find-scanner - 0.0
scanadf         - 0.0
scanimage       - 0.0
scp             - 0.0
sdiff           - 0.0
sendmail        - 0.0
sensors         - 0.0
seq             - 0.0
setfdprm        - 0.0
setkeycodes     - 0.0
setleds         - 0.0
setmetamode     - 0.0
setquota        - 0.0
setsid          - 0.0
setterm         - 0.0
sftp            - 0.0
showkey         - 0.0
showmount       - 0.0
shred           - 0.0
shutdown        - 0.0
skill           - 0.0
slabtop         - 0.0
slattach        - 0.0
slocate         - 0.0
snice           - 0.0
ssh             - 0.0
ssh-add         - 0.0
ssh-agent       - 0.0
ssh-keygen      - 0.0
ssh-keyscan     - 0.0
sshd            - 0.0
stat            - 0.0
statd           - 0.0
strace          - 0.0
strfile         - 0.0
suspend         - 0.0
swapoff         - 0.0
swapon          - 0.0
sync            - 0.0
sysctl          - 0.0
sysklogd        - 0.0
syslogd         - 0.0
tac             - 0.0
tailf           - 0.0
talk            - 0.0
talkd           - 0.0
taskset         - 0.0
tcpd            - 0.0
tcpdump         - 0.0
tcpslice        - 0.0
telinit         - 0.0
telnet          - 0.0
telnetd         - 0.0
tftp            - 0.0
tftpd           - 0.0
tload           - 0.0
tmpwatch        - 0.0
tracepath       - 0.0
traceroute      - 0.0
troff           - 0.0
tset            - 0.0
tsort           - 0.0
tty             - 0.0
tune2fs         - 0.0
tunelp          - 0.0
ul              - 0.0
ulimit          - 0.0
umask           - 0.0
umount          - 0.0
uncompress      - 0.0
unexpand        - 0.0
unicode_start   - 0.0
unicode_stop    - 0.0
units           - 0.0
unrar           - 0.0
unshar          - 0.0
usleep          - 0.0
uudecode        - 0.0
uuencode        - 0.0
uuidgen         - 0.0
vdir            - 0.0
vi              - 0.0
vidmode         - 0.0
volname         - 0.0
wall            - 0.0
warnquota       - 0.0
watch           - 0.0
whatis          - 0.0
whereis         - 0.0
who             - 0.0
whoami          - 0.0
whois           - 0.0
xdg-open        - 0.0
xinetd          - 0.0
yacc            - 0.0
ypbind          - 0.0
ypcat           - 0.0
ypinit          - 0.0
ypmatch         - 0.0
yppasswd        - 0.0
yppasswdd       - 0.0
yppoll          - 0.0
yppush          - 0.0
ypserv          - 0.0
ypset           - 0.0
yptest          - 0.0
ypwhich         - 0.0
ypxfr           - 0.0
zcat            - 0.0
zcmp            - 0.0
zdiff           - 0.0
zdump           - 0.0
zforce          - 0.0
zgrep           - 0.0
zic             - 0.0
zip             - 0.0
zless           - 0.0
zmore           - 0.0
znew            - 0.0
